model,dataset,classification_method,seq_len,opt_seq_len,class,accuracy_score,precision,recall,fscore,support,roc_auc_score
security_camera_cart,train,session,1,1,0,0.9991310836663762,0.9995561012712117,0.9995431277061896,0.9995496144466034,385228,0.9937163230598938
security_camera_cart,train,session,1,1,1,0.9991310836663762,0.9875398230088496,0.9878895184135977,0.9877146397592494,14120,0.9937163230598938
security_camera_cart_entropy_100_samples_leaf,train,session,1,1,0,0.9990709857067019,0.9994704943350681,0.9995664904939412,0.9995184901095792,385228,0.9925594492129763
security_camera_cart_entropy_100_samples_leaf,train,session,1,1,1,0.9990709857067019,0.9881417311652346,0.9855524079320114,0.9868453710598163,14120,0.9925594492129763
security_camera_cart_entropy_200_samples_leaf,train,session,1,1,0,0.9984700061099593,0.9992730614756333,0.9991407685837997,0.9992069106508915,385228,0.9896553701275939
security_camera_cart_entropy_200_samples_leaf,train,session,1,1,1,0.9984700061099593,0.9766424387834309,0.9801699716713881,0.9784030256972182,14120,0.9896553701275939
security_camera_cart_entropy_400_samples_leaf,train,session,1,1,0,0.9976712040626221,0.9989043002321222,0.9986813004246836,0.9987927878811481,385228,0.9843973074361378
security_camera_cart_entropy_400_samples_leaf,train,session,1,1,1,0.9976712040626221,0.9642404617767141,0.9701133144475921,0.9671679728871002,14120,0.9843973074361378
security_camera_cart_entropy_50_samples_leaf,train,session,1,1,0,0.9992011979526628,0.9996728640750232,0.999498997995992,0.9995859234750237,385228,0.9952877426240583
security_camera_cart_entropy_50_samples_leaf,train,session,1,1,1,0.9992011979526628,0.9863959963346726,0.9910764872521246,0.988730702653054,14120,0.9952877426240583
security_camera_cart_gini_100_samples_leaf,train,session,1,1,0,0.9988706591744544,0.9992267232006394,0.9996028326082216,0.9994147425191506,385228,0.9892490083720993
security_camera_cart_gini_100_samples_leaf,train,session,1,1,1,0.9988706591744544,0.9890518783542039,0.9788951841359773,0.9839473215874711,14120,0.9892490083720993
security_camera_cart_gini_200_samples_leaf,train,session,1,1,0,0.9983923795787133,0.9988274663415393,0.9995067855919092,0.9991670105018955,385228,0.983747727073575
security_camera_cart_gini_200_samples_leaf,train,session,1,1,1,0.9983923795787133,0.9862895078654929,0.9679886685552408,0.9770533990992923,14120,0.983747727073575
security_camera_cart_gini_400_samples_leaf,train,session,1,1,0,0.9970226469144706,0.9987428799995844,0.9981699149594526,0.9984563152804015,385228,0.981946147281426
security_camera_cart_gini_400_samples_leaf,train,session,1,1,1,0.9970226469144706,0.9508402482393139,0.9657223796033995,0.9582235339587506,14120,0.981946147281426
security_camera_cart_gini_50_samples_leaf,train,session,1,1,0,0.9992763204022557,0.9994446851961896,0.9998053101020694,0.999624965124352,385228,0.9923247513683151
security_camera_cart_gini_50_samples_leaf,train,session,1,1,1,0.9992763204022557,0.9946355768543023,0.9848441926345609,0.9897156684815486,14120,0.9923247513683151
security_camera_forest,train,session,1,1,0,0.99989482857057,0.9998961756293054,0.9999948082693885,0.999945489517115,385228,0.9985809735397932
security_camera_forest,train,session,1,1,1,0.99989482857057,0.9998579747195001,0.9971671388101983,0.998510743918871,14120,0.9985809735397932
security_camera_forest_entropy_11,train,session,1,1,0,0.9998722918356922,0.9998935780864302,0.9999740413469426,0.9999338080979951,385228,0.998535179313698
security_camera_forest_entropy_11,train,session,1,1,1,0.9998722918356922,0.9992902264177728,0.9970963172804532,0.9981920663617995,14120,0.998535179313698
security_camera_forest_entropy_15,train,session,1,1,0,0.9998898204072638,0.9998883899602876,0.9999974041346943,0.9999428940762987,385228,0.9984760391778288
security_camera_forest_entropy_15,train,session,1,1,1,0.9998898204072638,0.9999289671828385,0.9969546742209632,0.9984396056457906,14120,0.9984760391778288
security_camera_forest_entropy_19,train,session,1,1,0,0.999892324488917,0.9998883902499799,1.0,0.9999441920106321,385228,0.9984773371104816
security_camera_forest_entropy_19,train,session,1,1,1,0.999892324488917,1.0,0.9969546742209632,0.9984750150725255,14120,0.9984773371104816
security_camera_forest_entropy_21,train,session,1,1,0,0.999892324488917,0.9998883902499799,1.0,0.9999441920106321,385228,0.9984773371104816
security_camera_forest_entropy_21,train,session,1,1,1,0.999892324488917,1.0,0.9969546742209632,0.9984750150725255,14120,0.9984773371104816
security_camera_forest_entropy_23,train,session,1,1,0,0.99989482857057,0.9998909855426065,1.0,0.9999454898001033,385228,0.9985127478753542
security_camera_forest_entropy_23,train,session,1,1,1,0.99989482857057,1.0,0.9970254957507082,0.9985105326618908,14120,0.9985127478753542
security_camera_forest_entropy_3,train,session,1,1,0,0.9998747959173453,0.9998728184470353,0.9999974041346943,0.9999351074102146,385228,0.9982635745885936
security_camera_forest_entropy_3,train,session,1,1,1,0.9998747959173453,0.9999289368959636,0.9965297450424929,0.9982264472190693,14120,0.9982635745885936
security_camera_forest_entropy_7,train,session,1,1,0,0.9998873163256108,0.999885794674398,0.9999974041346943,0.9999415962901963,385228,0.9984406284129562
security_camera_forest_entropy_7,train,session,1,1,1,0.9998873163256108,0.9999289621368189,0.9968838526912182,0.998404085541015,14120,0.9984406284129562
security_camera_forest_gini_11,train,session,1,1,0,0.9998747959173453,0.9998883882221022,0.9999818289428598,0.9999351063995473,385228,0.9984682515819114
security_camera_forest_gini_11,train,session,1,1,1,0.9998747959173453,0.9995029821073559,0.9969546742209632,0.9982272018153453,14120,0.9984682515819114
security_camera_forest_gini_15,train,session,1,1,0,0.9998973326522231,0.9998935808487057,1.0,0.9999467875929433,385228,0.9985481586402266
security_camera_forest_gini_15,train,session,1,1,1,0.9998973326522231,1.0,0.9970963172804532,0.998546047732189,14120,0.9985481586402266
security_camera_forest_gini_19,train,session,1,1,0,0.9998873163256108,0.999885794674398,0.9999974041346943,0.9999415962901963,385228,0.9984406284129562
security_camera_forest_gini_19,train,session,1,1,1,0.9998873163256108,0.9999289621368189,0.9968838526912182,0.998404085541015,14120,0.9984406284129562
security_camera_forest_gini_21,train,session,1,1,0,0.9998798040806515,0.999880603833136,0.9999948082693885,0.9999377027903958,385228,0.9983685089505582
security_camera_forest_gini_21,train,session,1,1,1,0.9998798040806515,0.9998579141801648,0.996742209631728,0.998297630869627,14120,0.9983685089505582
security_camera_forest_gini_23,train,session,1,1,0,0.9998823081623046,0.9998806041430363,0.9999974041346943,0.9999390007280977,385228,0.9983698068832112
security_camera_forest_gini_23,train,session,1,1,1,0.9998823081623046,0.9999289520426288,0.996742209631728,0.9983330377726548,14120,0.9983698068832112
security_camera_forest_gini_3,train,session,1,1,0,0.9998497551008143,0.9998572459367002,0.9999870206734713,0.9999221290943874,385228,0.998045918268747
security_camera_forest_gini_3,train,session,1,1,1,0.9998497551008143,0.9996446339729922,0.9961048158640227,0.9978715856686768,14120,0.998045918268747
security_camera_forest_gini_7,train,session,1,1,0,0.9998823081623046,0.9998806041430363,0.9999974041346943,0.9999390007280977,385228,0.9983698068832112
security_camera_forest_gini_7,train,session,1,1,1,0.9998823081623046,0.9999289520426288,0.996742209631728,0.9983330377726548,14120,0.9983698068832112
security_camera_MLP_1_1,train,session,1,1,0,0.9646423670583051,0.9646423670583051,1.0,0.982003018190717,385228,0.5
security_camera_MLP_1_1,train,session,1,1,1,0.9646423670583051,0.0,0.0,0.0,14120,0.5
security_camera_MLP_1_1_sgd,train,session,1,1,0,0.9646423670583051,0.9646423670583051,1.0,0.982003018190717,385228,0.5
security_camera_MLP_1_1_sgd,train,session,1,1,1,0.9646423670583051,0.0,0.0,0.0,14120,0.5
security_camera_MLP_1_2,train,session,1,1,0,0.9646423670583051,0.9646423670583051,1.0,0.982003018190717,385228,0.5
security_camera_MLP_1_2,train,session,1,1,1,0.9646423670583051,0.0,0.0,0.0,14120,0.5
security_camera_MLP_1_2_sgd,train,session,1,1,0,0.9646423670583051,0.9646423670583051,1.0,0.982003018190717,385228,0.5
security_camera_MLP_1_2_sgd,train,session,1,1,1,0.9646423670583051,0.0,0.0,0.0,14120,0.5
security_camera_MLP_1_3,train,session,1,1,0,0.9985275999879805,0.9995532281861065,0.9989201200328117,0.999236573826427,385228,0.9933694084583322
security_camera_MLP_1_3,train,session,1,1,1,0.9985275999879805,0.9710387078808131,0.9878186968838527,0.9793568319056313,14120,0.9933694084583322
security_camera_MLP_1_3_sgd,train,session,1,1,0,0.997668699980969,0.9989302063507314,0.9986527459063204,0.9987914568591638,385228,0.9847371378256814
security_camera_MLP_1_3_sgd,train,session,1,1,1,0.997668699980969,0.9635200674773319,0.9708215297450425,0.96715701837937,14120,0.9847371378256814
security_camera_MLP_1_4,train,session,1,1,0,0.9981620040666286,0.9993636099162563,0.9987306218654927,0.9990470156268664,385228,0.9906896735389786
security_camera_MLP_1_4,train,session,1,1,1,0.9981620040666286,0.9659565580618212,0.9826487252124646,0.9742311473107709,14120,0.9906896735389786
security_camera_MLP_1_4_sgd,train,session,1,1,0,0.9979266203912377,0.9993868091209545,0.9984632477390013,0.9989248149590962,385228,0.9908746833595856
security_camera_MLP_1_4_sgd,train,session,1,1,1,0.9979266203912377,0.9591047250621719,0.9832861189801699,0.971044901384809,14120,0.9908746833595856
security_camera_MLP_1_5,train,session,1,1,0,0.9646423670583051,0.9646423670583051,1.0,0.982003018190717,385228,0.5
security_camera_MLP_1_5,train,session,1,1,1,0.9646423670583051,0.0,0.0,0.0,14120,0.5
security_camera_MLP_1_5_sgd,train,session,1,1,0,0.9646423670583051,0.9646423670583051,1.0,0.982003018190717,385228,0.5
security_camera_MLP_1_5_sgd,train,session,1,1,1,0.9646423670583051,0.0,0.0,0.0,14120,0.5
security_camera_MLP_2_1,train,session,1,1,0,0.9646423670583051,0.9646423670583051,1.0,0.982003018190717,385228,0.5
security_camera_MLP_2_1,train,session,1,1,1,0.9646423670583051,0.0,0.0,0.0,14120,0.5
security_camera_MLP_2_1_sgd,train,session,1,1,0,0.9646423670583051,0.9646423670583051,1.0,0.982003018190717,385228,0.5
security_camera_MLP_2_1_sgd,train,session,1,1,1,0.9646423670583051,0.0,0.0,0.0,14120,0.5
security_camera_MLP_2_2,train,session,1,1,0,0.9646423670583051,0.9646423670583051,1.0,0.982003018190717,385228,0.5
security_camera_MLP_2_2,train,session,1,1,1,0.9646423670583051,0.0,0.0,0.0,14120,0.5
security_camera_MLP_2_2_sgd,train,session,1,1,0,0.9915111631960095,0.9913096512537571,0.9999662537510253,0.9956191362332325,385228,0.8804009739010084
security_camera_MLP_2_2_sgd,train,session,1,1,1,0.9915111631960095,0.9987913722573447,0.7608356940509915,0.8637240713941148,14120,0.8804009739010084
security_camera_MLP_2_3,train,session,1,1,0,0.9646423670583051,0.9646423670583051,1.0,0.982003018190717,385228,0.5
security_camera_MLP_2_3,train,session,1,1,1,0.9646423670583051,0.0,0.0,0.0,14120,0.5
security_camera_MLP_2_3_sgd,train,session,1,1,0,0.9646423670583051,0.9646423670583051,1.0,0.982003018190717,385228,0.5
security_camera_MLP_2_3_sgd,train,session,1,1,1,0.9646423670583051,0.0,0.0,0.0,14120,0.5
security_camera_MLP_2_4,train,session,1,1,0,0.9646423670583051,0.9646423670583051,1.0,0.982003018190717,385228,0.5
security_camera_MLP_2_4,train,session,1,1,1,0.9646423670583051,0.0,0.0,0.0,14120,0.5
security_camera_MLP_2_4_sgd,train,session,1,1,0,0.9751094283682402,0.975536880945985,0.9992549866572523,0.9872535014400722,385228,0.6578073800141786
security_camera_MLP_2_4_sgd,train,session,1,1,1,0.9751094283682402,0.9396297854438368,0.3163597733711048,0.473349581434778,14120,0.6578073800141786
security_camera_MLP_2_5,train,session,1,1,0,0.9646423670583051,0.9646423670583051,1.0,0.982003018190717,385228,0.5
security_camera_MLP_2_5,train,session,1,1,1,0.9646423670583051,0.0,0.0,0.0,14120,0.5
security_camera_MLP_2_5_sgd,train,session,1,1,0,0.9976286346745195,0.9990519751383726,0.9984892063920587,0.9987705114905893,385228,0.9863196740175592
security_camera_MLP_2_5_sgd,train,session,1,1,1,0.9976286346745195,0.9594057334170328,0.9741501416430595,0.9667217204905646,14120,0.9863196740175592
security_camera_MLP_3_1,train,session,1,1,0,0.9646423670583051,0.9646423670583051,1.0,0.982003018190717,385228,0.5
security_camera_MLP_3_1,train,session,1,1,1,0.9646423670583051,0.0,0.0,0.0,14120,0.5
security_camera_MLP_3_1_sgd,train,session,1,1,0,0.9896205815479231,0.9912724666303986,0.9980271423676368,0.9946383367331495,385228,0.879148132090334
security_camera_MLP_3_1_sgd,train,session,1,1,1,0.9896205815479231,0.9338842975206612,0.7602691218130312,0.8381807534647668,14120,0.879148132090334
security_camera_MLP_3_2,train,session,1,1,0,0.9989532938690064,0.9995638017790656,0.9993510336735647,0.9994574064026045,385228,0.9937265083381988
security_camera_MLP_3_2,train,session,1,1,1,0.9989532938690064,0.9823968455147163,0.9881019830028328,0.9852411552856436,14120,0.9937265083381988
security_camera_MLP_3_2_sgd,train,session,1,1,0,0.997773871410399,0.9989717784338316,0.9987202384042697,0.9988459925826789,385228,0.9853374563126165
security_camera_MLP_3_2_sgd,train,session,1,1,1,0.997773871410399,0.9653232046141943,0.9719546742209632,0.9686275893707873,14120,0.9853374563126165
